Feature,Perturbation_%,Sample_Index,Original_Feature_Value,Perturbed_Feature_Value,Baseline_Prediction,Perturbed_Prediction,Actual_Value,Impact_on_Prediction_%,Baseline_Error_%,Perturbed_Error_%,Error_Change_%
Cover_Thickness_mm,-10.0,26,50.0,45.0,0.321926346274652,0.3914129449894207,0.235001,21.584626272087124,36.98935165154702,66.55799123808865,29.56863958654163
Cover_Thickness_mm,-10.0,27,51.0,45.9,0.0878354815924024,0.12656736931190293,0.111001,44.09594735215839,20.869648388390736,14.023629797842299,-6.846018590548438
Cover_Thickness_mm,-10.0,28,51.0,45.9,0.08854839416904203,0.1349060735745961,0.065001,52.35293066642814,36.22620293386568,107.54461250534007,71.31840957147439
Cover_Thickness_mm,-10.0,29,50.0,45.0,0.303142062555608,0.3713822953339724,0.242001,22.510974624594198,25.264797482493044,53.46312425732636,28.19832677483332
Cover_Thickness_mm,-10.0,30,51.0,45.9,0.20017119692634183,0.1991766996241761,0.247001,-0.496823377906698,18.95935768424345,19.361986540873875,0.40262885663042525
Cover_Thickness_mm,-10.0,31,51.0,45.9,0.08854839416904203,0.1349060735745961,0.075001,52.35293066642814,18.062951386037565,79.87236646790858,61.80941508187101
Cover_Thickness_mm,-10.0,32,51.0,45.9,0.217276126113634,0.2267712111013575,0.243001,4.370054436057845,10.586324289351069,6.678897987515479,-3.9074263018355895
Cover_Thickness_mm,-10.0,33,50.0,45.0,0.2790020036464555,0.3554760622028963,0.313001,27.409859985574457,10.862264450766764,13.570264057589695,2.7079996068229306
Cover_Thickness_mm,-10.0,34,30.0,27.0,0.37232587549993273,0.38215274922244713,0.3460009999999999,2.6393206513835676,7.608323530837439,10.448452236394475,2.840128705557036
Cover_Thickness_mm,-5.0,0,20.0,19.0,0.5435466844844884,0.5931599774959313,0.4820009999999999,9.127696742092583,12.768787717139283,23.061980679693907,10.293192962554624
Cover_Thickness_mm,-5.0,1,10.0,9.5,0.2431976931074724,0.24481640903598878,0.228001,0.6655967447030983,6.665187041930694,7.375147054613255,0.7099600126825614
Cover_Thickness_mm,-5.0,2,50.0,47.5,0.34481258947472704,0.38551731901122727,0.225001,11.804884966209643,53.24935865828464,71.34026915934918,18.090910501064535
Cover_Thickness_mm,-5.0,3,65.0,61.75,0.11182121349170218,0.1019849962201855,0.124001,-8.796378580032657,9.822329262100965,17.754698574861894,7.93236931276093
Cover_Thickness_mm,-5.0,4,65.0,61.75,0.11182121349170218,0.1019849962201855,0.043001,-8.796378580032657,160.04328618334966,137.16889425870446,-22.87439192464521
Cover_Thickness_mm,-5.0,5,65.0,61.75,0.11182121349170218,0.1019849962201855,0.047001,-8.796378580032657,137.91241354801426,116.98473696343801,-20.927676584576247
Cover_Thickness_mm,-5.0,6,70.0,66.5,0.15796835139928075,0.1527833685467969,0.129001,-3.2822921848303053,22.45513709140297,18.435801696728618,-4.0193353946743535
Cover_Thickness_mm,-5.0,7,51.0,48.449999999999996,0.08911383572510151,0.1252730793374537,0.064001,40.57646415748088,39.238192723709794,95.73612808777004,56.49793536406025
Cover_Thickness_mm,-5.0,8,65.0,61.75,0.11182121349170218,0.1019849962201855,0.230001,-8.796378580032657,51.382292471901344,55.65889008300594,4.276597611104599
Cover_Thickness_mm,-5.0,9,50.0,47.5,0.380202359391613,0.3794309549682645,0.4750009999999999,-0.20289311843905278,19.95756653320454,20.119967122539826,0.16240058933528445
Cover_Thickness_mm,-5.0,10,50.0,47.5,0.321926346274652,0.3830345812983809,0.4300009999999999,18.982054662775045,25.133581951053124,10.922397552940343,-14.211184398112781
Cover_Thickness_mm,-5.0,11,50.0,47.5,0.31947808965114904,0.3602699224700263,0.3480009999999999,12.768272423132213,8.196215053649517,3.5255423030469526,-4.670672750602565
Cover_Thickness_mm,-5.0,12,70.0,66.5,0.26356669606396976,0.21094544656257833,0.254001,-19.96506018674675,3.7660072456288702,16.950938554344926,13.184931308716056
Cover_Thickness_mm,-5.0,13,50.0,47.5,0.3134904289744377,0.38048189523605414,0.3080009999999999,21.36954116295493,1.782276347946199,23.532681788713102,21.750405440766905
Cover_Thickness_mm,-5.0,14,70.0,66.5,0.055136223558347255,0.056031858922427756,0.052001,1.6244046223671906,6.029160128357641,7.751502706539792,1.7223425781821513
Cover_Thickness_mm,-5.0,15,51.0,48.449999999999996,0.13555278738176288,0.1530347893016719,0.137001,12.896822158790233,1.0570817864374218,11.703410414283015,10.646328627845593
Cover_Thickness_mm,-5.0,16,50.0,47.5,0.380202359391613,0.3794309549682645,0.3600009999999999,-0.20289311843905278,5.611473132467163,5.397194721199278,-0.21427841126788483
